Station,Setup_date,Retrieval_date.Function.Date,Latitude,Longitude
Cell34Camera3K,7/31/2016,10/8/2016,0,0
Cell34Camera4K,7/31/2016,10/8/2016,0,0
Cell35Camera1K,8/8/2016,10/7/2016,0,0
Cell35Camera2K,8/9/2016,10/8/2016,0,0
Cell35Camera3K,8/9/2016,10/8/2016,0,0
Cell36Camera1,6/19/2017,9/16/2017,0,0
Cell36Camera1K,5/22/2016,7/1/2016,0,0
Cell36Camera2,6/19/2017,8/18/2017,0,0
Cell36Camera2BK,7/1/2016,8/8/2016,0,0
Cell36Camera3,6/19/2017,8/18/2017,0,0
Cell36Camera3K,5/22/2016,8/8/2016,0,0
Cell36Camera4,6/19/2017,8/18/2017,0,0
Cell36Camera4K,5/22/2016,8/8/2016,0,0
Cell37Camera1K,7/30/2016,10/8/2016,0,0
Cell37Camera2K,7/30/2016,10/8/2016,0,0
Cell37Camera3K,7/30/2016,10/8/2016,0,0
Cell37Camera4K,5/22/2016,10/8/2016,0,0
Cell38Camera2K,6/10/2017,8/11/2017,0,0
Cell38Camera3K,6/10/2017,8/9/2017,0,0
Cell39Camera1,6/22/2017,8/23/2017,0,0
Cell39Camera1K,6/3/2016,8/7/2016,0,0
Cell39Camera2,6/22/2017,8/23/2017,0,0
Cell39Camera2K,6/3/2016,8/7/2016,0,0
Cell39Camera3,6/22/2017,8/23/2017,0,0
Cell39Camera3K,6/3/2016,8/7/2016,0,0
Cell39Camera4,6/22/2017,8/23/2017,0,0
Cell39Camera4K,6/3/2016,8/9/2016,0,0
Cell40Camera1K,5/24/2016,8/8/2016,0,0
Cell40Camera2K,5/24/2016,8/8/2016,0,0
Cell40Camera3K,5/23/2016,8/8/2016,0,0
Cell40Camera4K,5/23/2016,8/8/2016,0,0
Cell413Camera1,7/6/2017,9/6/2017,0,0
Cell413Camera2,7/6/2017,9/6/2017,0,0
Cell413Camera3,7/6/2017,9/6/2017,0,0
Cell41Camera1K,6/14/2017,8/19/2017,0,0
Cell41Camera2K,6/14/2017,8/19/2017,0,0
Cell41Camera3K,8/19/2017,9/14/2017,0,0
Cell41Camera4K,8/19/2017,9/14/2017,0,0
Cell43Camera1,6/6/2016,9/6/2016,0,0
Cell43Camera3,6/6/2016,9/6/2016,0,0
Cell442Camera1,7/7/2017,9/27/2017,0,0
Cell442Camera2,7/5/2017,9/27/2017,0,0
Cell442Camera3,7/6/2017,9/26/2017,0,0
Cell442Camera4,7/6/2017,9/26/2017,0,0
Cell44Camera1K,8/28/2016,10/9/2016,0,0
Cell44Camera2K,8/28/2016,10/9/2016,0,0
Cell44Camera3K,8/28/2016,10/9/2016,0,0
Cell44Camera4K,8/28/2016,10/9/2016,0,0
Cell456Camera1,7/7/2017,9/27/2017,0,0
Cell456Camera2,7/7/2017,9/27/2017,0,0
Cell456Camera3,7/6/2017,9/27/2017,0,0
Cell456Camera4,7/5/2017,7/25/2017,0,0
Cell45Camera1K,8/8/2017,10/6/2017,0,0
Cell45Camera2,7/13/2017,9/15/2017,0,0
Cell45Camera2K,8/8/2017,10/6/2017,0,0
Cell45Camera3,7/13/2017,9/15/2017,0,0
Cell45Camera3K,8/8/2017,10/6/2017,0,0
Cell45Camera4,7/13/2017,9/15/2017,0,0
Cell45Camera4K,8/8/2017,10/7/2017,0,0
Cell46Camera1,8/1/2017,10/9/2017,0,0
Cell46Camera1K,5/26/2016,7/29/2016,0,0
Cell46Camera2,8/1/2017,10/9/2017,0,0
Cell46Camera2K,5/26/2016,7/29/2016,0,0
Cell46Camera3,8/1/2017,10/9/2017,0,0
Cell46Camera3K,5/27/2016,7/29/2016,0,0
Cell46Camera4,8/1/2017,10/9/2017,0,0
Cell46Camera4K,5/27/2016,7/29/2016,0,0
Cell470Camera1,7/7/2017,9/12/2017,0,0
Cell470Camera2,7/7/2017,9/12/2017,0,0
Cell470Camera3,7/7/2017,9/12/2017,0,0
Cell470Camera4,7/7/2017,9/12/2017,0,0
Cell47Camera1,6/9/2017,10/3/2017,0,0
Cell47Camera1K,8/8/2017,10/22/2017,0,0
Cell47Camera2,6/9/2017,10/4/2017,0,0
Cell47Camera2K,8/8/2017,10/22/2017,0,0
Cell47Camera3,6/9/2017,9/27/2017,0,0
Cell47Camera3K,8/8/2017,10/22/2017,0,0
Cell47Camera4,9/1/2017,10/3/2017,0,0
Cell485Camera1,7/13/2017,8/22/2017,0,0
Cell485Camera4,7/13/2017,9/21/2017,0,0
Cell48Camera1,6/17/2016,9/15/2016,0,0
Cell48Camera1K,6/10/2017,8/8/2017,0,0
Cell48Camera2,6/17/2016,9/15/2016,0,0
Cell48Camera2K,6/10/2017,8/8/2017,0,0
Cell48Camera3,6/17/2016,9/15/2016,0,0
Cell48Camera3K,6/10/2017,8/8/2017,0,0
Cell48Camera4K,6/10/2017,8/8/2017,0,0
Cell499Camera1,7/6/2017,9/20/2017,0,0
Cell499Camera2,7/6/2017,9/20/2017,0,0
Cell499Camera3,7/6/2017,9/20/2017,0,0
Cell499Camera4,7/6/2017,9/20/2017,0,0
Cell49Camera1K,5/26/2016,7/29/2016,0,0
Cell49Camera2K,5/26/2016,7/29/2016,0,0
Cell49Camera3K,5/26/2016,7/29/2016,0,0
Cell49Camera4K,5/26/2016,7/9/2016,0,0
Cell50Camera1,5/15/2016,8/5/2016,0,0
Cell50Camera1K,5/27/2016,7/28/2016,0,0
